team,confederation,att,def,rat,log_rat,gdp,log_gdp,pop,log_pop,z_rat,z_gdp,z_pop,rat-gdp,rat-pop,p_rat-gdp,p_rat-pop
Brazil,CONMEBOL,5.24,0.3,17.46666667,2.860294303,2353025,14.67121229,204575000,19.13644521,2.009823446,1.825736535,1.628970369,0.848723861,1.131117289,864.2864266,910.4150455
Spain,UEFA,4.99,0.36,13.86111111,2.629087157,1406855,14.15686727,46464053,17.65418952,1.846957569,1.609468986,0.991636924,0.82339599,1.312044543,857.0054819,940.4052456
Argentina,CONMEBOL,4.2,0.31,13.5483871,2.606267507,540164,13.19962808,43131966,17.57977495,1.830883056,1.206976947,0.959640493,1.063291235,1.313229681,915.8705248,940.5718371
Colombia,CONMEBOL,3.92,0.35,11.2,2.415913778,384901,12.86074144,48207000,17.6910148,1.696794956,1.064484689,1.007470887,1.019822838,1.153340706,906.8314998,914.610935
Netherlands,UEFA,3.4,0.32,10.625,2.363209715,866354,13.67204888,16910200,16.64342755,1.659669402,1.405616548,0.55703417,0.765750286,1.35919165,839.465676,946.7554217
Germany,UEFA,3.79,0.38,9.973684211,2.299950045,3859547,15.16606038,81083600,18.21099128,1.615108316,2.033806174,1.231047969,0.321684288,0.951051161,661.6024997,870.6499122
England,UEFA,3.06,0.35,8.742857143,2.16823704,2497483.808,14.73079431,53012456,17.78603746,1.522327645,1.850789088,1.048328294,0.345295582,0.956833918,672.7199549,872.0920743
France,UEFA,4.37,0.5,8.74,2.16791019,2846889,14.86173738,66962000,18.01963585,1.522097407,1.90584695,1.148769848,0.310050619,0.902423067,656.0717371,858.0766292
Uruguay,CONMEBOL,3.97,0.45,8.822222222,2.177273791,55143,10.91768509,3415866,15.04394161,1.528693272,0.24748439,-0.130705393,1.371302533,1.599198933,962.2111736,971.2315115
Chile,CONMEBOL,3.55,0.42,8.452380952,2.134448171,257968,12.46059083,18006407,16.7062382,1.498526245,0.896232662,0.584041202,0.928556071,1.183480244,885.5561481,920.0639035
Mexico,CONCACAF,3.15,0.39,8.076923077,2.089010993,1282725,14.06449728,121005815,18.61134916,1.466519596,1.570630013,1.403191998,0.46765814,0.709603774,727.7407895,800.3090592
Portugal,UEFA,3.41,0.44,7.75,2.047692843,230012,12.34588676,10477800,16.16476929,1.437414455,0.848002843,0.351222908,0.898116627,1.247956294,877.7445048,930.8396056
Ecuador,CONMEBOL,3.32,0.46,7.217391304,1.976493572,100755,11.52044711,15476000,16.55480099,1.387260592,0.500928789,0.518926935,1.068688773,1.107338807,916.9453106,905.757809
Russia,UEFA,2.86,0.43,6.651162791,1.894791695,1857461,14.43472106,146516061,18.80264561,1.32970853,1.726298653,1.485444761,0.231847689,0.528423571,618.0753139,734.8525831
Italy,UEFA,3.05,0.45,6.777777778,1.913649287,2147952,14.58002539,60788845,17.92291686,1.342992108,1.787395018,1.107183063,0.206276283,0.74575069,605.3786574,812.0979363
Croatia,UEFA,3.29,0.5,6.58,1.884034745,57159,10.95359214,4267558,15.26655232,1.322131169,0.262582289,-0.034988266,1.155138736,1.341004689,932.7820747,944.3725112
Ukraine,UEFA,3.07,0.48,6.395833333,1.855646737,130660,11.78035381,42854106,17.57331202,1.302134218,0.610212214,0.956861593,0.914062262,0.78597985,881.8820875,824.7009844
Switzerland,UEFA,3.11,0.49,6.346938776,1.847972614,712050,13.47590341,8256000,15.92645077,1.296728448,1.323142921,0.248751812,0.455259449,1.162545683,722.380597,916.3051061
Paraguay,CONMEBOL,3.12,0.53,5.886792453,1.772711274,29704,10.299037,7003406,15.76190716,1.243713201,-0.012639655,0.178002113,1.251751545,1.14769454,947.6013063,913.5591262
Serbia,UEFA,2.74,0.47,5.829787234,1.762980505,43866,10.68889481,7146759,15.78216953,1.236858696,0.151284542,0.186714431,1.140647433,1.1361404,930.3039269,911.3765922
Belgium,UEFA,2.92,0.53,5.509433962,1.706461889,534672,13.18940875,11245629,16.23549008,1.197046112,1.20268001,0.381631105,0.432186981,0.991185031,712.270757,880.4285231
Sweden,UEFA,2.86,0.53,5.396226415,1.685699897,570137,13.25363196,9784445,16.09630444,1.182421046,1.229684055,0.321784707,0.40038836,1.008842564,698.0589074,884.5612996
Czech Republic,UEFA,2.59,0.5,5.18,1.644805056,205658,12.23396987,10538275,16.17052443,1.15361409,0.800944954,0.353697474,0.644243304,0.962821087,798.0889724,873.5734026
USA,CONCACAF,2.83,0.54,5.240740741,1.656462851,17418925,16.67306782,321369000,19.58810055,1.16182602,2.667460227,1.823171042,-0.534578089,0.178363307,244.2458486,583.877954
Romania,UEFA,2.8,0.54,5.185185185,1.645805557,199950,12.20582261,19942642,16.80837081,1.154318857,0.789109827,0.627955711,0.652474766,0.815584305,801.0788513,833.6246519
Denmark,UEFA,2.49,0.49,5.081632653,1.625632598,340806,12.73906868,5668743,15.55047796,1.140108715,1.013324732,0.087092763,0.495672399,1.093128764,739.6593444,902.8907059
Côte d'Ivoire,CAF,2.84,0.57,4.98245614,1.60592297,33956,10.43282085,22671331,16.93661173,1.126224949,0.043612675,0.683096149,1.098488933,0.757746306,922.6941056,815.9132029
Japan,AFC,2.84,0.59,4.813559322,1.571436794,4616335,15.34511166,126890000,18.65883113,1.101932355,2.109092179,1.423608074,-0.239370733,0.334003605,378.2127383,654.1919298
Costa Rica,CONCACAF,2.57,0.55,4.672727273,1.5417429,48144,10.7819518,4773130,15.37851283,1.081015518,0.190412376,0.013151994,0.959920428,1.073921013,893.2265091,898.9141971
Turkey,UEFA,2.28,0.49,4.653061224,1.537525331,806108,13.59997301,77695904,18.1683131,1.078044598,1.37531068,1.212697402,0.203398871,0.423886184,603.9426608,692.6610559
Peru,CONMEBOL,2.52,0.56,4.5,1.504077397,202948,12.22070507,31151643,17.25437755,1.054483358,0.795367478,0.819727623,0.548659636,0.612302381,761.4444799,766.4392463
Iran,AFC,2.58,0.58,4.448275862,1.492516574,404132,12.90949684,78471900,18.17825116,1.046339736,1.084984957,1.216970523,0.35633022,0.389876297,677.8643265,678.3239885
Greece,UEFA,2.86,0.64,4.46875,1.497108727,238023,12.38012259,10903704,16.20461311,1.04957452,0.862398041,0.368354767,0.501121888,0.850875017,741.9461812,843.8719701
Republic of Ireland,UEFA,2.71,0.62,4.370967742,1.474984436,246438,12.41486572,4609600,15.34365164,1.033989828,0.877006547,-0.001837458,0.476246737,1.034980997,731.4234106,890.4910484
Ghana,CAF,2.65,0.61,4.344262295,1.468855962,38648,10.56225031,27043093,17.11294219,1.029672836,0.098034105,0.758913903,0.967326842,0.620296256,894.9823629,769.3366606
Venezuela,CONMEBOL,2.68,0.63,4.253968254,1.447852254,205787,12.23459693,30620404,17.23717714,1.014877501,0.801208615,0.812331873,0.505339037,0.576685971,743.7086985,753.2877948
Panama,CONCACAF,2.32,0.55,4.218181818,1.439404186,43784,10.68702373,3764166,15.14103688,1.008926552,0.150497806,-0.088956816,0.913215622,1.056912017,881.6649217,895.2949332
