HOMEADV,FRIENDLY,HOME,AWAY,HG,AG,DATE
0,0,Qatar,Libya,2,0,1/2/2006
0,0,Egypt,Zimbabwe,2,0,1/5/2006
1,1,Togo,Guinea,0,1,1/7/2006
1,1,Morocco,Congo DR,3,0,1/9/2006
1,1,Togo,Ghana,1,0,1/11/2006
1,0,Tunisia,Libya,1,0,1/12/2006
1,0,Egypt,South Africa,1,2,1/14/2006
1,1,Morocco,Zimbabwe,1,0,1/14/2006
1,1,Senegal,Congo DR,0,0,1/14/2006
1,1,Tunisia,Ghana,2,0,1/15/2006
1,1,Côte d'Ivoire,Jordan,2,0,1/17/2006
0,1,Morocco,Angola,2,2,1/17/2006
1,0,Saudi Arabia,Sweden,1,1,1/18/2006
1,1,United Arab Emirates,Korea Republic,1,0,1/18/2006
1,1,Egypt,Libya,3,0,1/20/2006
1,1,Greece,Korea Republic,1,1,1/21/2006
0,1,Saudi Arabia,Finland,1,1,1/21/2006
0,1,Morocco,Côte d'Ivoire,0,1,1/21/2006
1,0,Cameroon,Angola,3,1,1/21/2006
1,0,Togo,Congo DR,0,2,1/21/2006
1,0,USA,Canada,0,0,1/22/2006
1,0,Tunisia,Zambia,4,1,1/22/2006
1,0,South Africa,Guinea,0,2,1/22/2006
1,1,Jordan,Sweden,0,0,1/23/2006
1,0,Nigeria,Ghana,1,0,1/23/2006
1,1,Zimbabwe,Senegal,0,2,1/23/2006
1,1,Libya,Côte d'Ivoire,1,2,1/24/2006
1,0,Egypt,Morocco,0,0,1/24/2006
1,0,Ecuador,Honduras,1,0,1/25/2006
1,1,Finland,Korea Republic,0,1,1/25/2006
1,0,Mexico,Norway,2,1,1/25/2006
1,1,Saudi Arabia,Greece,1,1,1/25/2006
0,0,Angola,Congo DR,0,0,1/25/2006
0,0,Cameroon,Togo,2,0,1/25/2006
1,1,Singapore,Denmark,1,2,1/26/2006
0,0,Zambia,Guinea,1,2,1/26/2006
0,0,Tunisia,South Africa,2,0,1/26/2006
1,1,Saudi Arabia,Lebanon,1,2,1/27/2006
0,0,Ghana,Senegal,1,0,1/27/2006
0,0,Nigeria,Zimbabwe,2,0,1/27/2006
1,0,Egypt,Côte d'Ivoire,3,1,1/28/2006
0,0,Libya,Morocco,0,0,1/28/2006
1,1,Hong Kong,Denmark,0,3,1/29/2006
0,1,Korea Republic,Croatia,2,0,1/29/2006
1,1,USA,Norway,5,0,1/29/2006
0,0,Cameroon,Congo DR,2,0,1/29/2006
0,0,Angola,Togo,3,2,1/29/2006
1,1,Bahrain,Syria,1,1,1/30/2006
0,0,Tunisia,Guinea,0,3,1/30/2006
0,0,Zambia,South Africa,1,0,1/30/2006
0,0,Nigeria,Senegal,2,1,1/31/2006
0,0,Ghana,Zimbabwe,1,2,1/31/2006
1,1,Hong Kong,Croatia,0,4,2/1/2006
0,1,Korea Republic,Denmark,1,3,2/1/2006
1,1,Thailand,Jordan,0,0,2/1/2006
1,1,Kuwait,Singapore,2,2,2/3/2006
0,0,Guinea,Senegal,2,3,2/3/2006
1,0,Egypt,Congo DR,4,1,2/3/2006
0,0,Nigeria,Tunisia,1,1,2/4/2006
0,0,Cameroon,Côte d'Ivoire,1,1,2/4/2006
0,1,Oman,Singapore,1,0,2/6/2006
1,1,Kuwait,Jordan,2,1,2/7/2006
1,1,Syria,Palestine,3,0,2/7/2006
0,0,Nigeria,Côte d'Ivoire,0,1,2/7/2006
1,0,Egypt,Senegal,2,1,2/7/2006
0,0,Senegal,Nigeria,0,1,2/9/2006
1,1,USA,Japan,3,2,2/10/2006
1,0,Egypt,Côte d'Ivoire,0,0,2/10/2006
0,1,Korea Republic,Costa Rica,0,1,2/11/2006
1,1,China PR,Honduras,0,1,2/12/2006
0,1,Oman,Iraq,1,0,2/13/2006
1,1,Jordan,Kazakhstan,2,0,2/14/2006
1,1,Qatar,Tajikistan,2,0,2/14/2006
1,1,Saudi Arabia,Syria,1,1,2/14/2006
1,1,Hong Kong,Singapore,1,1,2/15/2006
0,1,Mexico,Korea Republic,0,1,2/15/2006
1,1,Bahrain,Palestine,0,2,2/16/2006
1,1,Thailand,Iraq,4,3,2/16/2006
1,1,Hong Kong,India,2,2,2/18/2006
1,1,Japan,Finland,2,0,2/18/2006
0,1,Palestine,Pakistan,3,0,2/18/2006
1,1,New Zealand,Malaysia,1,0,2/19/2006
1,1,USA,Guatemala,4,0,2/19/2006
1,0,Yemen,Saudi Arabia,0,4,2/22/2006
1,0,Japan,India,6,0,2/22/2006
1,0,Syria,Korea Republic,1,2,2/22/2006
1,0,Iran,Chinese Taipei,4,0,2/22/2006
1,0,United Arab Emirates,Oman,1,0,2/22/2006
1,0,Jordan,Pakistan,3,0,2/22/2006
1,0,Lebanon,Kuwait,1,1,2/22/2006
1,0,Bahrain,Australia,1,3,2/22/2006
1,0,Singapore,Iraq,2,0,2/22/2006
1,0,China PR,Palestine,2,0,2/22/2006
1,0,Hong Kong,Qatar,0,3,2/22/2006
1,0,Uzbekistan,Bangladesh,5,0,2/22/2006
1,1,New Zealand,Malaysia,2,1,2/23/2006
1,1,Guyana,Antigua and Barbuda,2,1,2/24/2006
1,1,Malta,Moldova,0,2,2/25/2006
1,1,Benin,Equatorial Guinea,0,1,2/26/2006
1,1,Guyana,Antigua and Barbuda,4,1,2/26/2006
0,1,Moldova,Georgia,5,1,2/27/2006
0,1,Algeria,Burkina Faso,0,0,2/28/2006
1,1,Azerbaijan,Ukraine,0,0,2/28/2006
0,1,Bosnia-Herzegovina,Japan,2,2,2/28/2006
1,1,Cyprus,Slovenia,0,1,2/28/2006
0,1,Finland,Kazakhstan,0,0,2/28/2006
0,1,Greece,Belarus,1,0,2/28/2006
0,1,Iceland,Trinidad and Tobago,0,2,2/28/2006
0,1,Romania,Armenia,2,0,2/28/2006
1,1,Albania,Lithuania,1,2,3/1/2006
1,1,Austria,Canada,0,2,3/1/2006
0,1,Croatia,Argentina,3,2,3/1/2006
1,1,Cyprus,Armenia,2,0,3/1/2006
1,1,England,Uruguay,2,1,3/1/2006
0,1,Finland,Belarus,2,2,3/1/2006
1,1,France,Slovakia,1,2,3/1/2006
1,1,Iran,Costa Rica,3,2,3/1/2006
1,1,Republic of Ireland,Sweden,3,0,3/1/2006
1,1,Israel,Denmark,0,2,3/1/2006
1,1,Italy,Germany,4,1,3/1/2006
0,1,Kazakhstan,Greece,0,2,3/1/2006
1,1,Korea Republic,Angola,1,0,3/1/2006
1,1,Luxembourg,Belgium,0,1,3/1/2006
1,1,FYR Macedonia,Bulgaria,0,1,3/1/2006
1,1,Malta,Georgia,0,2,3/1/2006
0,1,Mexico,Ghana,1,0,3/1/2006
1,1,Netherlands,Ecuador,1,0,3/1/2006
1,1,Northern Ireland,Estonia,1,0,3/1/2006
1,1,Russia,Brazil,0,1,3/1/2006
0,1,Saudi Arabia,Portugal,0,3,3/1/2006
1,1,Scotland,Switzerland,1,3,3/1/2006
1,1,Senegal,Norway,2,1,3/1/2006
