Team,Attack,Defence,
AFGHANISTAN,0.34,1.11,
ALBANIA,0.96,0.38,
ALGERIA,1.26,0.42,
AMERICAN SAMOA,0.1,2.97,
ANDORRA,0.15,1.15,
ANGOLA,0.92,0.52,
ANGUILLA,0.14,3.06,
ANTIGUA AND BARBUDA,0.78,1.04,
ARGENTINA,3.08,0.21,
ARMENIA,1.21,0.56,
ARUBA,0.48,1.71,
AUSTRALIA,1.58,0.39,
AUSTRIA,1.61,0.46,
AZERBAIJAN,0.76,0.57,
BAHAMAS,0.48,2.26,
BAHRAIN,0.94,0.56,
BANGLADESH,0.25,1.7,
BARBADOS,0.57,1.27,
BELARUS,1.43,0.48,
BELGIUM,1.91,0.34,
BELIZE,0.62,0.92,
BENIN,0.97,0.74,
BERMUDA,0.62,1.26,
BHUTAN,0.16,3.95,
BOLIVIA,1.5,0.47,
BOSNIA AND HERZEGOVINA,1.07,0.48,
BOSNIA-HERZEGOVINA,2.18,0.44,
BOTSWANA,0.58,0.62,
BRAZIL,3.7,0.18,
BRITISH VIRGIN ISLANDS,0.08,4.24,
BRUNEI DARUSSALAM,0.24,3.16,
BULGARIA,1.36,0.39,
BURKINA FASO,1,0.52,
BURUNDI,0.6,0.73,
CAMBODIA,0.31,3.2,
CAMEROON,1.35,0.38,
CANADA,1.08,0.44,
CAPE VERDE ISLANDS,0.98,0.55,
CAYMAN ISLANDS,0.29,1.97,
CENTRAL AFRICAN REPUBLIC,0.75,0.91,
CHAD,0.64,1.12,
CHILE,2.58,0.28,
CHINA PR,1.19,0.54,
CHINESE TAIPEI,0.32,2.35,
COLOMBIA,2.36,0.19,
COMOROS,0.26,1.91,
CONGO,0.78,0.64,
CONGO DR,1.04,0.6,
COOK ISLANDS,0.36,2.18,
COSTA RICA,1.63,0.35,
CôTE D'IVOIRE,2.1,0.4,
CROATIA,2.05,0.3,
CUBA,0.92,0.78,
CURACAO,0.61,1.91,
CYPRUS,1.04,0.64,
CZECH REPUBLIC,1.79,0.32,
DENMARK,1.94,0.36,
DJIBOUTI,0.2,3.22,
DOMINICA,0.29,1.66,
DOMINICAN REPUBLIC,0.64,1.17,
ECUADOR,2.35,0.31,
EGYPT,1.6,0.47,
EL SALVADOR,1.08,0.54,
ENGLAND,2.49,0.23,
EQUATORIAL GUINEA,0.78,0.77,
ERITREA,0.71,1.28,
ESTONIA,0.74,0.57,
ETHIOPIA,0.74,0.83,
FAROE ISLANDS,0.55,0.87,
FIJI,1.03,0.57,
FINLAND,1.33,0.42,
FRANCE,2.1,0.2,
FYR MACEDONIA,1.02,0.47,
GABON,0.96,0.42,
GAMBIA,0.92,0.69,
GEORGIA,0.91,0.5,
GERMANY,3.15,0.28,
GHANA,1.53,0.36,
GREECE,1.36,0.31,
GRENADA,0.62,1.22,
GUAM,0.26,3.07,
GUATEMALA,1.11,0.55,
GUINEA,1.52,0.58,
GUINEA-BISSAU,0.47,0.73,
GUYANA,0.59,0.94,
HAITI,0.81,0.61,
HONDURAS,1.41,0.4,
HONG KONG,0.43,1.33,
HUNGARY,1.55,0.49,
ICELAND,1.25,0.51,
INDIA,0.53,1.62,
INDONESIA,0.59,0.99,
IRAN,1.37,0.31,
IRAQ,0.98,0.46,
ISRAEL,1.83,0.51,
ITALY,1.96,0.28,
JAMAICA,1.1,0.44,
JAPAN,1.81,0.38,
JORDAN,1.01,0.55,
KAZAKHSTAN,0.93,0.73,
KENYA,0.54,0.72,
KOREA DPR,0.83,0.44,
KOREA REPUBLIC,1.51,0.4,
KUWAIT,1.1,0.63,
KYRGYZSTAN,0.33,1.31,
LAOS,0.4,2.92,
LATVIA,1.02,0.6,
LEBANON,0.77,0.95,
LESOTHO,0.44,1.12,
LIBERIA,0.76,0.96,
LIBYA,0.78,0.46,
LIECHTENSTEIN,0.43,0.83,
LITHUANIA,0.9,0.48,
LUXEMBOURG,0.52,0.82,
MACAU,0.2,4.19,
MADAGASCAR,0.54,0.99,
MALAWI,0.71,0.68,
MALAYSIA,0.55,1.16,
MALDIVES,0.53,1.56,
MALI,1.32,0.53,
MALTA,0.58,0.8,
MAURITANIA,0.58,0.85,
MAURITIUS,0.33,1.4,
MEXICO,2.27,0.26,
MOLDOVA,0.96,0.61,
MONGOLIA,0.22,2.43,
MONTENEGRO,1.34,0.43,
MONTSERRAT,0.35,3.16,
MOROCCO,1.35,0.46,
MOZAMBIQUE,0.63,0.66,
MYANMAR,0.36,1.48,
NAMIBIA,0.61,0.78,
NEPAL,0.21,1.92,
NETHERLANDS,2.7,0.22,
NETHERLANDS ANTILLES,0.5,1.35,
NEW CALEDONIA,1.38,0.59,
NEW ZEALAND,1.35,0.59,
NICARAGUA,0.54,0.99,
NIGER,0.65,0.81,
NIGERIA,1.46,0.37,
NORTHERN IRELAND,0.95,0.48,
NORWAY,1.53,0.4,
OMAN,0.87,0.45,
PAKISTAN,0.3,1.88,
PALESTINE,0.65,0.89,
PANAMA,1.44,0.35,
PAPUA NEW GUINEA,0.63,0.93,
PARAGUAY,1.83,0.31,
PERU,1.57,0.35,
PHILIPPINES,0.47,0.94,
POLAND,1.55,0.38,
PORTUGAL,2.21,0.27,
PUERTO RICO,0.6,1.04,
QATAR,0.93,0.57,
REPUBLIC OF IRELAND,1.57,0.36,
ROMANIA,1.81,0.33,
RUSSIA,1.76,0.25,
RWANDA,0.7,0.69,
SAMOA,0.37,2.1,
SAN MARINO,0.08,1.5,
SAO TOME E PRINCIPE,0.46,1.42,
SAUDI ARABIA,1.09,0.46,
SCOTLAND,1.46,0.39,
SENEGAL,1.37,0.43,
SERBIA,1.82,0.32,
SEYCHELLES,0.34,2.03,
SIERRA LEONE,0.72,0.74,
SINGAPORE,0.63,1.15,
SLOVAKIA,1.62,0.42,
SLOVENIA,1.4,0.38,
SOLOMON ISLANDS,0.82,0.88,
SOMALIA,0.3,2.24,
SOUTH AFRICA,1.06,0.36,
SOUTH SUDAN,0.46,1.6,
SPAIN,3.05,0.2,
SRI LANKA,0.38,2.83,
ST. KITTS AND NEVIS,0.54,0.89,
ST. LUCIA,0.52,1.96,
ST. VINCENT / GRENADINES,0.53,1.08,
SUDAN,0.66,0.77,
SURINAME,0.58,1.32,
SWAZILAND,0.32,1.19,
SWEDEN,1.85,0.33,
SWITZERLAND,1.9,0.31,
SYRIA,1.08,0.62,
TAHITI,0.68,1.05,
TAJIKISTAN,0.59,1.12,
TANZANIA,0.78,0.79,
THAILAND,0.81,0.79,
TIMOR-LESTE,0.33,3.54,
TOGO,0.91,0.74,
TONGA,0.41,1.76,
TRINIDAD AND TOBAGO,0.92,0.58,
TUNISIA,1.24,0.45,
TURKEY,1.72,0.37,
TURKMENISTAN,0.74,1.03,
TURKS AND CAICOS ISLANDS,0.19,2,
TUVALU,0.49,1.93,
UGANDA,0.89,0.5,
UKRAINE,1.91,0.3,
UNITED ARAB EMIRATES,1.21,0.61,
URUGUAY,2.85,0.29,
US VIRGIN ISLANDS,0.14,3.89,
USA,2.06,0.37,
UZBEKISTAN,1.18,0.49,
VANUATU,0.87,0.89,
VENEZUELA,1.62,0.39,
VIETNAM,0.69,1.02,
WALES,1.19,0.45,
YEMEN,0.52,1.01,
ZAMBIA,0.88,0.43,
ZIMBABWE,0.75,0.65,
